날짜,지점,강수량(mm)
2004-03-10,경남,0.1
2004-03-11,경남,0
2004-03-12,경남,0
2004-03-13,경남,0
2004-03-14,경남,0
2004-03-15,경남,0
2004-03-16,경남,0
2004-03-17,경남,13.6
2004-03-18,경남,0
2004-03-19,경남,0
2004-03-20,경남,0
2004-03-21,경남,0.5
2004-03-22,경남,3.7
2004-03-23,경남,0
2004-03-24,경남,0
2004-03-25,경남,0
2004-03-26,경남,0
2004-03-27,경남,0
2004-03-28,경남,0
2004-03-29,경남,2.9
2004-03-30,경남,9
2004-03-31,경남,0
2004-04-01,경남,24.4
2004-04-02,경남,1.4
2004-04-03,경남,0
2004-04-04,경남,0
2004-04-05,경남,0
2004-04-06,경남,0
2004-04-07,경남,0.6
2004-04-08,경남,0
2004-04-09,경남,0
2004-04-10,경남,0
2004-04-11,경남,0
2004-04-12,경남,0
2004-04-13,경남,0
2004-04-14,경남,0
2004-04-15,경남,0
2004-04-16,경남,0
2004-04-17,경남,0
2004-04-18,경남,37.3
2004-04-19,경남,11.8
2004-04-20,경남,0
2004-04-21,경남,0
2004-04-22,경남,0.9
2004-04-23,경남,0
2004-04-24,경남,0
2004-04-25,경남,0
2004-04-26,경남,46.2
2004-04-27,경남,10.3
2004-04-28,경남,0
2004-04-29,경남,0
2004-04-30,경남,0
2004-05-01,경남,0
2004-05-02,경남,18.4
2004-05-03,경남,15.3
2004-05-04,경남,2.2
2004-05-05,경남,0
2004-05-06,경남,0
2004-05-07,경남,0
2004-05-08,경남,7.8
2004-05-09,경남,31.4
2004-05-10,경남,3.1
2004-05-11,경남,0
2004-05-12,경남,12.1
2004-05-13,경남,1.8
2004-05-14,경남,0
2004-05-15,경남,14.1
2004-05-16,경남,0.9
2004-05-17,경남,0
2004-05-18,경남,0
2004-05-19,경남,0
2004-05-20,경남,0
2004-05-21,경남,0.8
2004-05-22,경남,0
2004-05-23,경남,0
2004-05-24,경남,0
2004-05-25,경남,0
2004-05-26,경남,0
2004-05-27,경남,0.2
2004-05-28,경남,10.2
2004-05-29,경남,14.3
2004-05-30,경남,5.1
2004-05-31,경남,2.7
2004-06-01,경남,0
2004-06-02,경남,0
2004-06-03,경남,0
2004-06-04,경남,0
2004-06-05,경남,0
2004-06-06,경남,0
2004-06-07,경남,6.9
2004-06-08,경남,2.3
2004-06-09,경남,0
2004-06-10,경남,0
2004-06-11,경남,0
2004-06-12,경남,0
2004-06-13,경남,0
2004-06-14,경남,0
2004-06-15,경남,0
2004-06-16,경남,0
2004-06-17,경남,43.8
2004-06-18,경남,14.8
2004-06-19,경남,84.8
2004-06-20,경남,25.6
2004-06-21,경남,32.7
2004-06-22,경남,0
2004-06-23,경남,0
2004-06-24,경남,11.6
2004-06-25,경남,10.3
2004-06-26,경남,0.4
2004-06-27,경남,4.3
2004-06-28,경남,0.4
2004-06-29,경남,0
2004-06-30,경남,0.1
2004-07-01,경남,0
2004-07-02,경남,8.3
2004-07-03,경남,31.8
2004-07-04,경남,50.4
2004-07-05,경남,0.5
2004-07-06,경남,0
2004-07-07,경남,32.4
2004-07-08,경남,0.1
2004-07-09,경남,0
2004-07-10,경남,0.3
2004-07-11,경남,3.4
2004-07-12,경남,2.5
2004-07-13,경남,0
2004-07-14,경남,46.4
2004-07-15,경남,11.2
2004-07-16,경남,0.7
2004-07-17,경남,10.4
2004-07-18,경남,0
2004-07-19,경남,0
2004-07-20,경남,0
2004-07-21,경남,0
2004-07-22,경남,0
2004-07-23,경남,0
2004-07-24,경남,0
2004-07-25,경남,0
2004-07-26,경남,0
2004-07-27,경남,0
2004-07-28,경남,0
2004-07-29,경남,0
2004-07-30,경남,1.1
2004-07-31,경남,0
2004-08-01,경남,1.1
2004-08-02,경남,12.2
2004-08-03,경남,11.7
2004-08-04,경남,0.5
2004-08-05,경남,2
2004-08-06,경남,0
2004-08-07,경남,0
2004-08-08,경남,0
2004-08-09,경남,0
2004-08-10,경남,4.6
2004-08-11,경남,0
2004-08-12,경남,0
2004-08-13,경남,0
2004-08-14,경남,12.9
2004-08-15,경남,3.9
2004-08-16,경남,2
2004-08-17,경남,7.9
2004-08-18,경남,131.9
2004-08-19,경남,47.7
2004-08-20,경남,1.1
2004-08-21,경남,1
2004-08-22,경남,88.5
2004-08-23,경남,60.3
2004-08-24,경남,0.5
2004-08-25,경남,1.7
2004-08-26,경남,0.5
2004-08-27,경남,0
2004-08-28,경남,0
2004-08-29,경남,0
2004-08-30,경남,0.3
2004-08-31,경남,0
2004-09-01,경남,0
2004-09-02,경남,0
2004-09-03,경남,0
2004-09-04,경남,0
2004-09-05,경남,0.6
2004-09-06,경남,2.1
2004-09-07,경남,41.1
2004-09-08,경남,0
2004-09-09,경남,0.3
2004-09-10,경남,4.6
2004-09-11,경남,48.9
2004-09-12,경남,16.8
2004-09-13,경남,0.3
2004-09-14,경남,0.4
2004-09-15,경남,2.2
2004-09-16,경남,31.2
2004-09-17,경남,4.6
2004-09-18,경남,18.1
2004-09-19,경남,0
2004-09-20,경남,35.3
2004-09-21,경남,0.5
2004-09-22,경남,0
2004-09-23,경남,0
2004-09-24,경남,0
2004-09-25,경남,0
2004-09-26,경남,0.7
2004-09-27,경남,3.7
2004-09-28,경남,2.3
2004-09-29,경남,5.4
2004-09-30,경남,0
2004-10-01,경남,0
2004-10-02,경남,0
2004-10-03,경남,0
2004-10-04,경남,0
2004-10-05,경남,0
2004-10-06,경남,0
2004-10-07,경남,0
2004-10-08,경남,0.2
2004-10-09,경남,2.4
2004-10-10,경남,0.1
2004-10-11,경남,0
2004-10-12,경남,0
2004-10-13,경남,0
2004-10-14,경남,0
2004-10-15,경남,0
2004-10-16,경남,0
2004-10-17,경남,0
2004-10-18,경남,0.4
2004-10-19,경남,0.1
2004-10-20,경남,2.5
2004-10-21,경남,0
2004-10-22,경남,0
2004-10-23,경남,0
2004-10-24,경남,0
2004-10-25,경남,0
2004-10-26,경남,0.1
2004-10-27,경남,0
2004-10-28,경남,0
2004-10-29,경남,0
2004-10-30,경남,0
2004-10-31,경남,0
2004-11-01,경남,3.6
2004-11-02,경남,4.2
2004-11-03,경남,0.4
2004-11-04,경남,0
2004-11-05,경남,0
2004-11-06,경남,0
2004-11-07,경남,0
2004-11-08,경남,0
2004-11-09,경남,0
2004-11-10,경남,44.1
2004-11-11,경남,3.6
2004-11-12,경남,0
2004-11-13,경남,1.7
2004-11-14,경남,1.1
2004-11-15,경남,0
2004-11-16,경남,0
2004-11-17,경남,0
2004-11-18,경남,0
2004-11-19,경남,0
2004-11-20,경남,0
2004-11-21,경남,0
2004-11-22,경남,0
2004-11-23,경남,0
2004-11-24,경남,0
2004-11-25,경남,0
2004-11-26,경남,4.2
2004-11-27,경남,0
2004-11-28,경남,0
2004-11-29,경남,0
2004-11-30,경남,0
2004-12-01,경남,0
2004-12-02,경남,0
2004-12-03,경남,0
2004-12-04,경남,23.9
2004-12-05,경남,0
2004-12-06,경남,0
2004-12-07,경남,0
2004-12-08,경남,0
2004-12-09,경남,0
2004-12-10,경남,0
2004-12-11,경남,0
2004-12-12,경남,0
2004-12-13,경남,0
2004-12-14,경남,0
2004-12-15,경남,0.1
2004-12-16,경남,0
2004-12-17,경남,0
2004-12-18,경남,0
2004-12-19,경남,0
