날짜,지점,강수량(mm)
2003-12-14,서울경기,0
2003-12-15,서울경기,0
2003-12-16,서울경기,0.2
2003-12-17,서울경기,1.9
2003-12-18,서울경기,0
2003-12-19,서울경기,0
2003-12-20,서울경기,0
2003-12-21,서울경기,0
2003-12-22,서울경기,0
2003-12-23,서울경기,0
2003-12-24,서울경기,0
2003-12-25,서울경기,0
2003-12-26,서울경기,0
2003-12-27,서울경기,0
2003-12-28,서울경기,0
2003-12-29,서울경기,1
2003-12-30,서울경기,0
2003-12-31,서울경기,0
2004-01-01,서울경기,0
2004-01-02,서울경기,2.6
2004-01-03,서울경기,0
2004-01-04,서울경기,0
2004-01-05,서울경기,0
2004-01-06,서울경기,0
2004-01-07,서울경기,0
2004-01-08,서울경기,0
2004-01-09,서울경기,0
2004-01-10,서울경기,0
2004-01-11,서울경기,0
2004-01-12,서울경기,2.3
2004-01-13,서울경기,0
2004-01-14,서울경기,0
2004-01-15,서울경기,0
2004-01-16,서울경기,0
2004-01-17,서울경기,7.6
2004-01-18,서울경기,3.7
2004-01-19,서울경기,0.1
2004-01-20,서울경기,1.8
2004-01-21,서울경기,0
2004-01-22,서울경기,0
2004-01-23,서울경기,0
2004-01-24,서울경기,0
2004-01-25,서울경기,0
2004-01-26,서울경기,0
2004-01-27,서울경기,0
2004-01-28,서울경기,0
2004-01-29,서울경기,0
2004-01-30,서울경기,0
2004-01-31,서울경기,0
2004-02-01,서울경기,0
2004-02-02,서울경기,0
2004-02-03,서울경기,0
2004-02-04,서울경기,0.5
2004-02-05,서울경기,0
2004-02-06,서울경기,0.6
2004-02-07,서울경기,0.1
2004-02-08,서울경기,0
2004-02-09,서울경기,0
2004-02-10,서울경기,0
2004-02-11,서울경기,0
2004-02-12,서울경기,0
2004-02-13,서울경기,0
2004-02-14,서울경기,1
2004-02-15,서울경기,0
2004-02-16,서울경기,0
2004-02-17,서울경기,0
2004-02-18,서울경기,0
2004-02-19,서울경기,0
2004-02-20,서울경기,0
2004-02-21,서울경기,39
2004-02-22,서울경기,5
2004-02-23,서울경기,0
2004-02-24,서울경기,0
2004-02-25,서울경기,0
2004-02-26,서울경기,0.2
2004-02-27,서울경기,0.1
2004-02-28,서울경기,0.6
2004-02-29,서울경기,0
2004-03-01,서울경기,0
2004-03-02,서울경기,0
2004-03-03,서울경기,0
2004-03-04,서울경기,11.1
2004-03-05,서울경기,0.1
2004-03-06,서울경기,0.3
2004-03-07,서울경기,0
2004-03-08,서울경기,0
2004-03-09,서울경기,0
2004-03-10,서울경기,0
2004-03-11,서울경기,0
2004-03-12,서울경기,0
2004-03-13,서울경기,0
2004-03-14,서울경기,0
2004-03-15,서울경기,0
2004-03-16,서울경기,1.4
2004-03-17,서울경기,6.3
2004-03-18,서울경기,0
2004-03-19,서울경기,0
2004-03-20,서울경기,0
2004-03-21,서울경기,0
2004-03-22,서울경기,0
2004-03-23,서울경기,0
2004-03-24,서울경기,1
2004-03-25,서울경기,0
2004-03-26,서울경기,0
2004-03-27,서울경기,0
2004-03-28,서울경기,0
2004-03-29,서울경기,0.3
2004-03-30,서울경기,0.6
2004-03-31,서울경기,0
2004-04-01,서울경기,12.4
2004-04-02,서울경기,0.9
2004-04-03,서울경기,0
2004-04-04,서울경기,0
2004-04-05,서울경기,0
2004-04-06,서울경기,0.2
2004-04-07,서울경기,0
2004-04-08,서울경기,0
2004-04-09,서울경기,0
2004-04-10,서울경기,0
2004-04-11,서울경기,0
2004-04-12,서울경기,0
2004-04-13,서울경기,0
2004-04-14,서울경기,0
2004-04-15,서울경기,0
2004-04-16,서울경기,0
2004-04-17,서울경기,0
2004-04-18,서울경기,2.6
2004-04-19,서울경기,15.5
2004-04-20,서울경기,0
2004-04-21,서울경기,0
2004-04-22,서울경기,0.3
2004-04-23,서울경기,0
2004-04-24,서울경기,0
2004-04-25,서울경기,0
2004-04-26,서울경기,25.6
2004-04-27,서울경기,13.8
2004-04-28,서울경기,0
2004-04-29,서울경기,0
2004-04-30,서울경기,0
2004-05-01,서울경기,0
2004-05-02,서울경기,1.6
2004-05-03,서울경기,14
2004-05-04,서울경기,0.3
2004-05-05,서울경기,0
2004-05-06,서울경기,0
2004-05-07,서울경기,0
2004-05-08,서울경기,0.5
2004-05-09,서울경기,32.9
2004-05-10,서울경기,11
2004-05-11,서울경기,0
2004-05-12,서울경기,14.1
2004-05-13,서울경기,1
2004-05-14,서울경기,0
2004-05-15,서울경기,0.4
2004-05-16,서울경기,0
2004-05-17,서울경기,0.4
2004-05-18,서울경기,1.5
2004-05-19,서울경기,0
2004-05-20,서울경기,18.4
2004-05-21,서울경기,1.8
2004-05-22,서울경기,0
2004-05-23,서울경기,0
2004-05-24,서울경기,0
2004-05-25,서울경기,0
2004-05-26,서울경기,0
2004-05-27,서울경기,5.5
2004-05-28,서울경기,53.1
2004-05-29,서울경기,0
2004-05-30,서울경기,0
2004-05-31,서울경기,0
2004-06-01,서울경기,0
2004-06-02,서울경기,0
2004-06-03,서울경기,0
2004-06-04,서울경기,0
2004-06-05,서울경기,0
2004-06-06,서울경기,0
2004-06-07,서울경기,0
2004-06-08,서울경기,0
2004-06-09,서울경기,0
2004-06-10,서울경기,0
2004-06-11,서울경기,0
2004-06-12,서울경기,0
2004-06-13,서울경기,0
2004-06-14,서울경기,0
2004-06-15,서울경기,0
2004-06-16,서울경기,0
2004-06-17,서울경기,22.5
2004-06-18,서울경기,0.7
2004-06-19,서울경기,60.6
2004-06-20,서울경기,7.5
2004-06-21,서울경기,1.3
2004-06-22,서울경기,12.1
2004-06-23,서울경기,0.5
2004-06-24,서울경기,0.1
2004-06-25,서울경기,0.1
2004-06-26,서울경기,1.7
2004-06-27,서울경기,0
2004-06-28,서울경기,0
2004-06-29,서울경기,0
2004-06-30,서울경기,0
2004-07-01,서울경기,8
2004-07-02,서울경기,9.3
2004-07-03,서울경기,8.1
2004-07-04,서울경기,79.9
2004-07-05,서울경기,9.8
2004-07-06,서울경기,40.1
2004-07-07,서울경기,35.3
2004-07-08,서울경기,2.1
2004-07-09,서울경기,0
2004-07-10,서울경기,0
2004-07-11,서울경기,16.1
2004-07-12,서울경기,67.1
2004-07-13,서울경기,27.9
2004-07-14,서울경기,4.4
2004-07-15,서울경기,37.3
2004-07-16,서울경기,71.8
2004-07-17,서울경기,29.8
2004-07-18,서울경기,0.1
2004-07-19,서울경기,0.1
2004-07-20,서울경기,0.4
2004-07-21,서울경기,0.1
2004-07-22,서울경기,0
2004-07-23,서울경기,0
2004-07-24,서울경기,0
2004-07-25,서울경기,17.1
2004-07-26,서울경기,0
2004-07-27,서울경기,0
2004-07-28,서울경기,0
2004-07-29,서울경기,0
2004-07-30,서울경기,0
2004-07-31,서울경기,0
2004-08-01,서울경기,0
2004-08-02,서울경기,0
2004-08-03,서울경기,0
2004-08-04,서울경기,9.9
2004-08-05,서울경기,0.1
2004-08-06,서울경기,0
2004-08-07,서울경기,0
2004-08-08,서울경기,0.1
